ลำดับ	เลขทะเบียนเดิม	FID	ชื่อโรงงาน	ประกอบกิจการ	เลขที่	หมู่	ซอย	ถนน	ตำบล	อำเภอ	จังหวัด	ไปรษณีย์	โทรศัพท์	เงินทุน	คนงาน	แรงม้า
3617	3-105-41/58รย	1.02E+13	บริษัท ชุมชนมาบชลูด รีไซเคิล จำกัด	คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย	26/31			ชากกลาง-มิตรประชา	ห้วยโป่ง	เมืองระยอง	ระยอง	21150		1024000	62	35
3618	จ3-53(5)-58/61รย	2.02E+13	บริษัท วอน จิน (ประเทศไทย) จำกัด	ผสมทำเม็ดพลาสติก	450			สุขุมวิท	ห้วยโป่ง	เมืองระยอง	ระยอง	21150		3000000	6	278.9
3619	3-3(2)-66/58รย	1.02E+13	บริษัท หมอกมุงเมือง จำกัด	ขุดและดูดทรายในที่ดินกรรมสิทธิ์	"น.ส.3 เลขที่ 526,514,527,540"	1			ห้วยโป่ง	เมืองระยอง	ระยอง	21150		75000000	10	1820
3620	จ3-63(2)-13/49รย	2.02E+13	บริษัท ไดอะล๊อก เทคโนโลยี แอนด์ เซอร์วิสเซส จำกัด	ประกอบโครงสร้าง ก่อสร้างอาคาร ประกอบและติดตั้งโครงสร้างเหล็กทุกชนิด	22-ก.ย.				ห้วยโป่ง	เมืองระยอง	ระยอง	21150		17600000	200	480
3621	จ3-58(1)-37/54รย	2.02E+13	บริษัท คิวมิกซ์ซัพพลาย จำกัด	ผลิตคอนกรีตผสมเสร็จ	8	8			ห้วยโป่ง	เมืองระยอง	ระยอง	21150	036-685488	15000000	9	184.5
3622	3-9(2)-2/13รย	1.02E+13	ห้างหุ้นส่วนจำกัด นันท์สุรกิจ (2005)	ทำแป้งมันสำปะหลัง	12	4		เข้าวัดมาบชลูด	ห้วยโป่ง	เมืองระยอง	ระยอง	21150	684359-60	25000000	40	2275.73
3623	3-44-1/62รย	1.02E+13	บริษัท ไทยแทฟฟิต้า จำกัด	ผลิตเม็ดพลาสติกไนล่อน	13			3191	ห้วยโป่ง	เมืองระยอง	ระยอง	21150	038-681601	500000000	23	4191.25
3624	จ3-71-19/62รย	2.02E+13	บริษัท ซีเมนส์ เอนเนอร์ยี่ จำกัด	ผลิตและซ่อมมอเตอร์ เครื่องกำเนิดไฟฟ้า เครื่องจักร และอุปกรณ์เครื่องใช้ไฟฟ้า	8-ก.ย.		คีรี	สุขุมวิท	ห้วยโป่ง	เมืองระยอง	ระยอง	21150		25000000	5	184.13
3625	จ3-100(5)-7/58รย	2.02E+13	ห้างหุ้นส่วนจำกัด บ้านฉางเบสเพลท	ชุบโลหะ	ตามโฉนดที่ดินเลขที่ 3553	5			สำนักท้อน	บ้านฉาง	ระยอง	21130	038-602773	8400000	7	399
3626	จ3-3(2)-124/51รย	2.02E+13	นายเสริมชัย ศักดิ์สาลากุล	ขุด หรือลอกกรวดทราย หรือดิน	น.ส.3ก เลขที่ 753	3			สำนักท้อน	บ้านฉาง	ระยอง	21130		7000000	6	230
3627	จ3-14-33/53รย	2.02E+13	โรงน้ำแข็งประภาพันธ์	ผลิตน้ำแข็งซอง	51/99	4			สำนักท้อน	บ้านฉาง	ระยอง	21130		7250000	6	497.5
3628	จ3-58(1)-90/64รย	2.02E+13	บริษัท ศลิตา คอนกรีต จำกัด	ผลิตและจำหน่ายคอนกรีตผสมเสร็จ	โฉนดที่ดินเลขที่ 43788	6			สำนักท้อน	บ้านฉาง	ระยอง	21130		3000000	12	290.5
3629	จ3-72-1/42รย	2.02E+13	บริษัท โจโฮคุ (ประเทศไทย) จำกัด	ประกอบชุดสายไฟ	169/15-17	5		สายพยูน	บ้านฉาง	บ้านฉาง	ระยอง	21130	038-602753	20000000	149	229.11
3630	น.42(1)-2/2547-ญอซ.	7.23E+13	บริษัท อินโดรามา ปิโตรเคม จำกัด	ผลิตPURIFIEDTEREPHTHALICACID(PTA)	4	2	-	สุขุมวิท	บ้านฉาง	บ้านฉาง	ระยอง	21130		13621840000	125	129031.3
3631	จ3-64(13)-4/45รย	2.02E+13	บริษัท สิทธกานต์ เอ็นจิเนียริ่ง จำกัด	เชื่อมโลหะทั่วไป	145/5	1	-	-	บ้านฉาง	บ้านฉาง	ระยอง	21130	038-880483	1700000	17	340
3632	น.42(1)-4/2554-ญอซ.	7.23E+13	บริษัท ดาว เคมิคอล ประเทศไทย จำกัด	"ผลิตสารโพรพิลีนไกลคอล150,000ตัน/ปีและผลิตโพลิอีเทอร์โพลิออล200,000ตัน/ปี"	4-ต.ค.	2			บ้านฉาง	บ้านฉาง	ระยอง	21130	038-925500	3320000	0	3613
3633	น.89-1/2553-ญอซ.	7.23E+13	บริษัท เอ็มทีพี เอชพี เจวี (ประเทศไทย) จำกัด	ผลิตก๊าซไฮโดรเจน	2-ต.ค.	2			บ้านฉาง	บ้านฉาง	ระยอง	21130		0	12	1711
3634	ส3-9(2)-1/30รย	2.10E+11	บริษัท สำปะหลังพัฒนา จำกัด	ผลิตแป้งมันสำปะหลังแปรรูป (MODIFIED STARCH) แป้งข้าวโพด แป้งมันฝรั่ง แป้งข้าวต่าง ๆ สำเร็จรูป (โมดีไฟด์สตาร์ช)	77	6		สุขุมวิท	บ้านฉาง	บ้านฉาง	ระยอง	21130	601344	75000000	38	3478.1
3635	จ3-64(13)-1/42รย	2.02E+13	บ้านฉางการช่าง	กลึงเชื่อมโลหะ	131/1	5		สุขุมวิท	บ้านฉาง	บ้านฉาง	ระยอง	21130	038-601726	2800000	15	140.85
3636	จ3-3(2)-142/61รย	2.02E+13	ห้างหุ้นส่วนจำกัด ส.กิจชัยคอนกรีต	ขุดดิน ขุดทราย ล้างและคัดขนาดทรายบก	โฉนดที่ดินเลขที่ 38044 เลขที่ดิน 19	5			กระแสบน	แกลง	ระยอง	21110		14000000	6	495
3637	จ3-3(2)-143/61รย	2.02E+13	ห้างหุ้นส่วนจำกัด ส.กิจชัยคอนกรีต	ขุดดิน ขุดทราย ล้างและคัดขนาดทรายบก	โฉนดที่ดินเลขที่ 26910 56404 56405 56406 56407	5			กระแสบน	แกลง	ระยอง	21110		14000000	6	495
3638	จ3-34(1)-2/35รย	2.02E+13	บริษัท ที เจ เอช พาราโพรดักส์ จำกัด	แปรรูปไม้ยางพาราเพื่อจำหน่ายและทำลังไม้ อัดน้ำยาและอบไม้	93	3		บ้านบึง-แกลง	กระแสบน	แกลง	ระยอง	21110	01-918-3323	3370000	43	776.94
3639	3-34(1)-2/45รย	1.02E+13	บริษัท เลิศชัย พาราวู๊ด จำกัด	แปรรูปไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด อบและอัดน้ำยาไม้	9-ก.ย.	1	-	-	กระแสบน	แกลง	ระยอง	21110	-	22400000	25	979.26
3640	จ3-62-6/56รย	2.02E+13	บริษัท อิมเมจ สตีลเฟอร์นิเจอร์ จำกัด	ทำเครื่องเรือนจากโลหะชนิดต่างๆ		4			กระแสบน	แกลง	ระยอง	21110		128761004	71	493
3641	จ3-34(1)-4/45รย	2.02E+13	บริษัท อุตสาหกรรมไม้ กระแสบน จำกัด	แปรรูปไม้ยางพารา อบ อัดน้ำยาถนอมเนื้อไม้	241	8		บ้านบึง-แกลง	กระแสบน	แกลง	ระยอง	21110		11000000	100	272
3642	3-34(1)-4/43รย	1.02E+13	บริษัท ถาวรอุตสาหกรรมไม้ จำกัด	แปรรูปไม้ยางพารา และไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด อบและอัดน้ำยาไม้ ทำลังไม้ และชั้นวางของ	346/1	2	-	สุขุมวิท	ทุ่งควายกิน	แกลง	ระยอง	21110	038-669633-4	13000000	47	674.2
3643	จ3-3(2)-313/49รย	2.02E+13	ส.อรุณรุ่ง	ขุดและล้างทราย	โฉนดที่ดินเลขที่ 29652	4			ทุ่งควายกิน	แกลง	ระยอง	21110		5000000	5	280
3644	3-9(6)-51/22รย	1.02E+13	เลี่ยงฮวด	"ทำมันเส้น ได้เดือนละ 1,200 ตัน"	446/2	11	-	สายเขาดิน-เขาชะเมา	ทุ่งควายกิน	แกลง	ระยอง	21110	038-669085	1440000	10	158
3645	3-9(2)-3/13รย	1.02E+13	บริษัท อินกริดิออน (ประเทศไทย) จำกัด	ทำแป้งมันสำปะหลัง	202	12		สุขุมวิท	ทุ่งควายกิน	แกลง	ระยอง	21110	671754	106000000	250	21317.05
3646	ศ3-14-2/33รย	2.10E+11	บริษัท โรงน้ำแข็ง กังสวนิช จำกัด	ทำน้ำแข็งซอง ได้วันละ 1526 ซอง	333	1	 	 	ทุ่งควายกิน	แกลง	ระยอง	21110	 	3500000	12	1949
3647	จ3-92-27/62รย	2.02E+13	เอเค เฟรช แอนด์ ฟรีซ	ห้องเย็นเก็บผลไม้สด	44/1	6			ทุ่งควายกิน	แกลง	ระยอง	21110		25000000	28	126
3648	จ3-92-46/62รย	2.02E+13	บริษัท จันทบุรี อินเตอร์เทรด (ประเทศไทย) จำกัด	ห้องเย็นบรรจุและแช่แข็งผักผลไม้	โฉนดที่ดินเลขที่ 27871	10			ทุ่งควายกิน	แกลง	ระยอง	21110		16000000	50	495
3649	จ3-95(1)-155/62รย	2.02E+13	บริษัท มิตซูระยอง จำกัด	ศูนย์บริการซ่อมรถยนต์	333/3	6			ทุ่งควายกิน	แกลง	ระยอง	21110		8000000	11	73.5
3650	จ3-105-16/53รย	2.02E+13	วงษ์พาณิชย์ สาขาวังจันทร์	คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย	222	2			พลงตาเอี่ยม	วังจันทร์	ระยอง	21210		22000000	23	90
3651	จ3-71-23/60รย	2.02E+13	บริษัท เอส.ซี.เอฟ.กรุ๊ป จำกัด	ดัดแปลง ซ่อมแซม	โฉนดที่ดินเลขที่ 23313				แม่น้ำคู้	ปลวกแดง	ระยอง	21140		9000000	30	75.41
3652	จ3-3(2)-31/58รย	2.02E+13	บริษัท ขุมทรัพย์ทรายทอง จำกัด	ขุด ตัก และคัดขนาดทรายบก	โฉนดที่ดินเลขที่ 4044 เลขที่ดิน 81 และโฉนดที่ดินเลขที่ 4046 เลขที่ดิน 122				แม่น้ำคู้	ปลวกแดง	ระยอง	21140	085-0099059	30000000	7	280
3653	จ3-3(2)-26/58รย	2.02E+13	บริษัท ขุมทรัพย์ทรายทอง จำกัด	ขุด ตัก และคัดขนาดทรายบก	โฉนดที่ดินเลขที่ 4055 เลขที่ดิน 114				แม่น้ำคู้	ปลวกแดง	ระยอง	21140		30000000	7	280
3654	จ3-3(2)-28/58รย	2.02E+13	บริษัท ขุมทรัพย์ทรายทอง จำกัด	ขุด ตัก และคัดขนาดทรายบก	โฉนดที่ดินเลขที่ 4034 เลขที่ดิน 88 				แม่น้ำคู้	ปลวกแดง	ระยอง	21140		30000000	7	280
3655	จ3-3(2)-30/58รย	2.02E+13	บริษัท ขุมทรัพย์ทรายทอง จำกัด	ขุด ตัก และคัดขนาดทรายบก	โฉนดที่ดินเลขที่ 4053 เลขที่ดิน 96				แม่น้ำคู้	ปลวกแดง	ระยอง	21140	085-0099059	30000000	7	280
3656	จ3-71-20/47รย	2.02E+13	บริษัท มูนซุง อิเล็คทรอนิค (ไทยแลนด์) จำกัด	ผลิตชิ้นส่วนอุปกรณ์เครื่องใช้ไฟฟ้า	25-ม.ค.	3	-	-	แม่น้ำคู้	ปลวกแดง	ระยอง	21140	038-606514-5	26600000	83	1667.61
3657	3-105-149/48รย	1.02E+13	ห้างหุ้นส่วนจำกัด นพพร โพลิเมอร์ แอนด์ คอนตรัคชั่น	คัดแยกสิ่งปฏิกูลเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ1 ภาคผนวกที่ 1 ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษเหล็ก บดย่อยพลาสติก และทำเม็ดพลาสติกเกรดบี	63	5	 -	ทางหลวงหมายเลข 3191	แม่น้ำคู้	ปลวกแดง	ระยอง	21140	06-1643640	3500000	4	90
3658	จ3-70-16/50รย	2.02E+13	บริษัท ไทยยูนิต แบร์ริ่ง มอเตอร์ จำกัด	ผลิตมอเตอร์ไฟฟ้า และประกอบพัดลม	613	5	-	-	แม่น้ำคู้	ปลวกแดง	ระยอง	21140	038-913282-3	27000000	32	79.34
3659	จ3-3(2)-19/51รย	2.02E+13	นายจีรศักดิ์ ภัทรสมบูรณ์	ขุดและล้างทราย	โฉนดที่ดินเลขที่ 12350	1			แม่น้ำคู้	ปลวกแดง	ระยอง	21140		14000000	8	460
3660	3-106-17/54รย	1.02E+13	บริษัท หัวไท่ อินดัสทรี จำกัด	นำตะกรันจากเตาหลอมเหล็กที่ไม่เป็นของเสียอันตรายมาผ่านกรรมวิธีบดย่อยเพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบในการทำถนน	โฉนดที่ดินเลขที่ 6584	6	-	ทางหลวงสาย 3191	แม่น้ำคู้	ปลวกแดง	ระยอง	21140		6000000	4	328.5
3661	จ3-53(1)-4/56รย	2.02E+13	บริษัท วายเค อินเตอร์เนชั่นแนล จำกัด	ทำผลิตภัณฑ์พลาสติก สำหรับเป็นชิ้นส่วนเครื่องใช้ไฟฟ้า ชิ้นส่วนอิเล็กทรอนิกส์ และชิ้นส่วนรถยนต์	94	4			แม่น้ำคู้	ปลวกแดง	ระยอง	21140	038-913263-4	24500000	33	998.2
3662	จ3-57(3)-2/55รย	2.02E+13	บริษัท ทอรัส เอส ดี จำกัด	ผสมซีเมนต์ ปูนขาว เข้ากับวัสดุอื่นที่ไม่เป็นอันตรายเพื่อทำผลิตภัณฑ์มวลผสม	888	3			แม่น้ำคู้	ปลวกแดง	ระยอง	21140		49900000	26	6692.7
3663	จ3-53(1)-11/53ฉช	2.02E+13	บริษัท พีแอลที.พลาสติก จำกัด	ทำผลิตภัณฑ์พลาสติก เช่น เครื่องเรือน เครื่องมือเครื่องใช้ และชิ้นส่วนพลาสติก ต่างๆ	30-เม.ย.	5			ท่าไข่	เมืองฉะเชิงเทรา	ฉะเชิงเทรา	24000		8300000	15	178
3664	จ3-77(2)-26/50ฉช	2.02E+13	บริษัท วิสดอม ออโต้พาร์ท จำกัด	ผลิตชิ้นส่วนรถยนต์ และรถจักรยานยนต์	44/1/1	5		สุวินทวงศ์	วังตะเคียน	เมืองฉะเชิงเทรา	ฉะเชิงเทรา	24000		41390000	70	3157.21
3665	จ3-77(2)-21/54ฉช	2.02E+13	บริษัท ฮิโรโอกะ (ไทยแลนด์) จำกัด	ผลิตชิ้นส่วนโลหะยานยนต์ ด้วยวิธีปั๊ม ตัด ดัด เชื่อม	88/8	8	-	-	วังตะเคียน	เมืองฉะเชิงเทรา	ฉะเชิงเทรา	24000		528680000	36	393.55
3666	จ3-77(2)-50/57ฉช	2.02E+13	บริษัท ฮิโรโอกะ (ไทยแลนด์) จำกัด	ผลิตชิ้นส่วนโลหะยานยนต์	88/8	8			วังตะเคียน	เมืองฉะเชิงเทรา	ฉะเชิงเทรา	24000		74000000	17	474.7
3667	จ3-95(1)-4/35ฉช	2.02E+13	นายสมหมาย เจียมบุรเศรษฐ	ซ่อมเครื่องยนต์ และตัวถังรถยนต์	76	6		สุวินทวงศ์	วังตะเคียน	เมืองฉะเชิงเทรา	ฉะเชิงเทรา	24000		0	6	120.65
3668	จ3-53(5)-81/62ฉช	2.02E+13	พิรพัฒน์ พลาสติก	เป่าและฉีดขึ้นรูปพลาสติกทุกชนิด	15	7		สุวินทวงค์	วังตะเคียน	เมืองฉะเชิงเทรา	ฉะเชิงเทรา	24000	081-9185408	10000000	7	212.5
3669	จ3-77(2)-1/41ฉช	2.02E+13	บริษัท วิสดอม ออโต้พาร์ท จำกัด	ทำอุปกรณ์สำหรับรถยนต์ 	44/1	5		สุวินทวงศ์	วังตะเคียน	เมืองฉะเชิงเทรา	ฉะเชิงเทรา	24000	038-847549-50	43000000	65	4192.15
3670	จ3-53(1)-23/52ฉช	2.02E+13	บริษัท เบบี้.เอส.เอ็น. อินเตอร์เนชั่นแนล จำกัด	ทำฟองน้ำ	68/6	9			คลองเปรง	เมืองฉะเชิงเทรา	ฉะเชิงเทรา	24000		6500000	17	143
3671	3-88(1)-6/63ฉช	4.02E+13	บริษัท บางเขนชัย จำกัด	โรงงานผลิตพลังงานไฟฟ้าจากแสงอาทิตย์ ขนาดกำลังการผลิต 2.66696 เมกะวัตต์	"โฉนดที่ดินเลขที่ 88190, 88191, 88192 และ 88194"	9		อบจ.ฉช.3014	คลองเปรง	เมืองฉะเชิงเทรา	ฉะเชิงเทรา	24000		94416074	4	6551
3672	จ3-52(4)-11/63ฉช	2.02E+13	บริษัท เอส.พี.ก่อสร้างรุ่งเรือง จำกัด	ผลิตและจำหน่ายน้ำยางพาราผสมสารผสมเพิ่ม	9-ส.ค.	10			คลองเปรง	เมืองฉะเชิงเทรา	ฉะเชิงเทรา	24000		57270000	15	175.35
3673	3-15(1)-5/58ฉช	1.02E+13	บริษัท ร่วมมิตรกรุ๊ป (2007) จำกัด	ผลิตอาหารสัตว์ทุกชนิดเพื่อจำหน่ายและเก็บไว้ใช้ในกิจการของบริษัท	2-ธ.ค.	8		สุวินทวงศ์	คลองหลวงแพ่ง	เมืองฉะเชิงเทรา	ฉะเชิงเทรา	24000		55000000	20	770
3674	จ3-37-1/44ฉช	2.02E+13	บริษัท ไทยยูไนเตด เฟรม จำกัด	"ทำเครื่องเรือนจากไม้ เช่น ตู้ โต๊ะ เตียง ได้ปีละ 6,000 ตัว"	26-ก.พ.	4	     -	บางคล้า-แปลงยาว	ท่าทองหลาง	บางคล้า	ฉะเชิงเทรา	24110		30000000	175	569
3675	3-9(1)-2/26ฉช	1.02E+13	บริษัท โรงสีนาทองพืชผล จำกัด	สีข้าว กำลังสีสูงสุดของร้านสีข้าว 90 เกวียน/วัน ขยายส่วนการสีข้าวนึ่ง กำลังสีสุงสุด 50 เกวียน/วัน รวมกับของเดิมเป็น 140 เกวียน/วัน	1-ก.พ.	5	-	ฉะเชิงเทรา-พนมสารคาม	เสม็ดเหนือ	บางคล้า	ฉะเชิงเทรา	24110	583146	6000000	20	1687.33
3676	3-15(1)-1/40ฉช	1.02E+13	บริษัท บุญพิศาล จำกัด	ทำอาหารสัตว์และอาหารเสริมสำหรับสัตว์	29-เม.ย.	9	-	บางน้ำเปรี้ยว-บางขนาก	บางขนาก	บางน้ำเปรี้ยว	ฉะเชิงเทรา	24150	038-581785-6	58000000	14	2039.9
3677	จ3-9(1)-17/49ฉช	2.02E+13	บริษัท มหาศักย์ศิริ จำกัด	สีข้าว ได้วันละ 400 เกวียน	92	11			ดอนฉิมพลี	บางน้ำเปรี้ยว	ฉะเชิงเทรา	24170		35000000	10	197.5
3678	จ3-9(1)-38/51ฉช	2.02E+13	บริษัท ธัญญาทิพย์ไรซ์ จำกัด	ปรับปรุงคุณภาพข้าวสาร	8-ส.ค.	8			ดอนฉิมพลี	บางน้ำเปรี้ยว	ฉะเชิงเทรา	24170		23600000	15	307.3
3679	จ3-3(2)-307/57ฉช	2.02E+13	บ่อดินคลอง 16	ขุดดินเพื่อจำหน่าย	โฉนดที่ดิน 46622	17			ดอนฉิมพลี	บางน้ำเปรี้ยว	ฉะเชิงเทรา	24170		63888000	6	494
3680	จ3-53(9)-34/56ฉช	2.02E+13	สวัสดีพาณิชย์	ล้าง บด หรือย่อยพลาสติก	18-ส.ค.	1			โพรงอากาศ	บางน้ำเปรี้ยว	ฉะเชิงเทรา	24150	38582388	25000000	15	580
3681	น.77(2)-9/2537-ญนฉ.	7.21E+13	บริษัท ฮิตาชิ แอสเตโม ชลบุรี แมนูแฟ็กเชอริง จำกัด	"ผลิต SHOCK ABSRBER, POWER STEERING"	199/2	3	-	สุขุมวิท	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	038490448-54	1059730000	367	10805.97
3682	น.77(2)-1/2534-ญนฉ.	7.21E+13	บริษัท คานาเอคซ์ (ประเทศไทย) จำกัด	"ชิ้นส่วนอุปกรณ์รถยนต์และรถบรรทุก เช่น Muffler Part,Gauge Part,Tank Part, L.P.G. Tank Part,Seat Part"	87/13	2		สุขุมวิท	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	0 3849 0925-6	168324000	70	486.05
3683	น.91(1)-4/2546-ญนฉ.	7.21E+13	บริษัท นิปปอน เอ็กซ์เพรส โลจิสติกส์ (ประเทศไทย) จำกัด	"PACKING, WAREHOUSE, TRANSPORTATION, DISTRIBUTION AND LOGISTIC SERVICE"	217	3	-	-	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	38401440	46690000	0	390
3684	น.53(5)-2/2535-ญนฉ.	7.21E+13	บริษัท เอ.เจ.พลาสท์ จำกัด (มหาชน)	"ผลิต บี.โอ.พี.พี.ฟิล์ม,POLYESTER FILM และผลิตภัณฑ์อุตสาหกรรมต่อเนื่อง"	38/11	5		สุขุมวิท	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	0 3849 0330-5	2075000000	212	63458.42
3685	น.28(1)-1/2540-นนฉ.	8.21E+13	บริษัท แอคูชเน็ท ฟุตจอย (ประเทศไทย) จำกัด	"ถุงมือกอล์ฟ ถุงไม้กอล์ฟ กระเป๋ากีฬา สินค้าและอุปกรณ์ที่ใช้เล่นกีฬา และถุงมือกอล์ฟเล็กแบบมีพวงกุญแจและไม่มีพวงกุญแจ การซื้อมาขายไปถุงมือกอล์ฟจากต่างประเทศมาติดโลโก้,บรรจุและส่งขายต่างประเทศ"	49/23	5		สุขุมวิท	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	0 3840 1011-5	546000000	1075	1313.08
3686	น.33-1/2539-ญนฉ.	7.21E+13	บริษัท ไทเท็กซ์ เอเซีย จำกัด	"ผ้าพื้นรองเท้า ผ้าที่ใช้สำหรับตกแต่งอาคาร,อุตสาหกรรมรถยนต์,วงการแพทย์ และอุตสาหกรรมทั่วไป ผลิตเม็ดพลาสติก 1. ผลิตผ้าสำหรับอุตสาหกรรมรองเท้า ผ้าบุพื้นรองเท้า, ผ้าซับในรองเท้า, ผ้าใช้สำหรับด้านนอกรองเท้า, กระดาษอินส์สโตนใช้สำหรับบุรองเท้า 2. ผลิตผ้าสำหรับตก"	208	3		สุขุมวิท	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	0 3840 0947	1144000000	140	4405.9
3687	3-106-21/47ชบ	1.02E+13	บริษัท เอส.โอ.แท้งค์ คลีนนิ่ง เทอร์มินอล จำกัด	ล้างถังที่ผ่านการใช้บรรจุน้ำมันและสารเคมี (ISO TANK) ด้วยน้ำร้อน เพื่อนำกลับมาใช้ประโยชน์ใหม่ ได้แก่ ถังบรรจุน้ำมันหล่อลื่น ถังบรรจุน้ำมันไฮดรอลิค ถังบรรจุน้ำมันหล่อเย็น	42	10	-	-	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	038-493120-1	1511760	5	356.44
3688	น.77(2)-1/2547-นนฉ.	8.21E+13	บริษัท เอส ที บี เท็กซ์ไทล์ อินดัสตรี จำกัด	ผ้าสำหรับหุ้มเบาะรถยนต์และผลิตภัณฑ์ผ้าทุกชนิดที่ใช้สำหรับยานพาหนะ	199/7	3		สุขุมวิท	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	038495261-2	914000000	127	0
3689	น.67(7)-7/2533-ญนฉ.	7.21E+13	บริษัท สยามมิชลิน จำกัด	ผลิตแม่พิมพ์ยางรถยนต์	13820	2		สุขุมวิท	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	38407500	200200000	366	3575
3690	จ3-74(4)-1/61ชบ	2.02E+13	บริษัท เอฟเอ็นที เอนเจิล จำกัด	ผลิตฉนวนกันความร้อน	277/78	12			ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230		29000000	11	140.74
3691	3-68-2/45ชบ	1.02E+13	บริษัท ซียูอีแอล จำกัด	ทำโครงสร้างโลหะที่ใช้ในการก่อสร้างหรืออุปกรณ์สำหรับงานอุตสาหกรรมแท่นขุดเจาะน้ำมัน	48	3	-	-	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	038 407000 	21000000	550	5149.87
3692	3-68-1/45ชบ	1.02E+13	บริษัท ซียูอีแอล จำกัด	ทำโครงสร้างโลหะที่ใช้ในการก่อสร้างหรืออุปกรณ์สำหรับงานอุตสาหกรรมแท่นขุดเจาะน้ำมันและก๊าซ	48	3	-	-	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	038-407000 	1000000	550	5496.56
3693	น.61-1/2552-นนฉ.	8.21E+13	บริษัท อิ๊บ แอนเดรเช่น อินดัสตรี (ประเทศไทย) จำกัด	"ผลิตผลิตภัณฑ์โลหะรวมทั้งชิ้นส่วนโลหะ,ซื้อมา-ขายไป,นำเข้าส่งออกจำหน่ายผลิตภัณฑ์โลหะและชิ้นส่วนโลหะเป็นที่ปรึกษาให้คำแนะนำส่งเสริมการขายการพัฒนาและวิจัยการออกแบบผลิตภัณฑ์โลหะและชิ้นส่วนโลหะ"	239	3	-	-	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	083-1886966	196743063	21	563
3694	จ3-97-2/52ชบ	2.02E+13	บริษัท เค2 แหลมฉบัง พร็อพเพอร์ตี้ จำกัด	รับจ้างซ่อมคู้คอนเทนเนอร์	210/5	12			ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	02-6813757	90000000	130	489
3695	3-42(1)-6/57ชบ	1.02E+13	บริษัท ลาบิกซ์ จำกัด	ผลิตสารตั้งต้นผลิตภัณฑ์ซักล้าง (Linear Alkyl Benzene:LAB)	105/13	2	-	-	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230		6572000000	4	21507.46
3696	จ3-68-15/57ชบ	2.02E+13	บริษัท ฟอร์คลิฟท์ โตเกียว เซอร์วิส จำกัด	ซ่อมแซมเครื่องจักรกล เช่น รถฟอร์คลิฟท์และชิ้นส่วนอุปกรณ์	121/56	2			ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230		25000000	20	95.9
3697	น.77(1)-1/2553-นนฉ.	8.21E+13	บริษัท มิตซูบิชิ มอเตอร์ส (ประเทศไทย) จำกัด	ผลิตและประกอบรถยนต์และชิ้นส่วนของรถยนต์ทุกชนิด				สุขุมวิท	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230		0	0	68902.29
3698	3-77(1)-2/34ชบ	1.02E+13	บริษัท ใหญ่การช่าง จำกัด	ต่อตัวถังรถยนต์บรรทุกน้ำมัน	305/3	7		สุขุมวิท	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	351244	7000000	12	498.66
3699	3-49-1/15ชบ	1.02E+13	บริษัท เอสโซ่ (ประเทศไทย) จำกัด (มหาชน)	กลั่นน้ำมันปิโตรเลี่ยมและทำผลิตภัณฑ์จากปิโตรเลี่ยม ขนาดใช้น้ำมันดิบวันละ 63000 บาเรลล์/วัน	118	2		สุขาภิบาล 7	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	038-408000	8846706000	290	724878.45
3700	จ3-58(1)-1/37ชบ	2.02E+13	บริษัท เอ็น.อี.ซี.คอนกรีต จำกัด	ผลิตคอนกรีตผสมเสร็จ	6	9		สุขุมวิท	ทุ่งสุขลา	ศรีราชา	ชลบุรี	20230	331004	9000000	6	138.08
3701	ข3-42(1)-4/41รย	9.11E+13	บริษัท ไออาร์พีซี จำกัด (มหาชน)	ทำเคมีภัณฑ์ เช่น BENZENE TOLUENE XYLENE	299	5		สุขุมวิท	เชิงเนิน	เมืองระยอง	ระยอง	21000	038-611333	13000000000	43	6589.32
